id;nombre;apellido;fecha_nacimiento;codigo;edad
1;Mouse;compressing JSON;2020-01-23;68450;29897
2;Tactics;benchmark Steel lime;2020-01-23;90039;13525
3;AGP Cheese Jewelery;Car magenta;2020-01-23;90691;67514
4;Directives;exuding bus;2020-01-22;58741;12769
5;Rustic Concrete Salad invoice viral;Soap bandwidth-monitored synergies;2020-01-23;1202;10339
6;back-end Plains;Frozen;2020-01-23;85253;40208
7;RSS;Comoro Franc generating pixel;2020-01-23;50375;1863
8;deposit deposit Investment Account;Moldova invoice matrix;2020-01-23;52720;44479
9;Unbranded Steel Sausages;Senior migration;2020-01-22;93452;91066
10;action-items;Forward Shirt Granite;2020-01-23;50862;40759
